,Jugador,Posición,Derribos,Derribos completados,Regateadores tackleados,Bloqueos,Disparos bloqueados,Pases bloqueados,Jug. tackleados + intercepciones,Despejes
149,Adri Embarba,"FW,MF",55,37,26,37,1,36,70,12
150,Youssef En-Nesyri,FW,10,7,0,9,1,8,17,29
151,Gonzalo Escalante,MF,39,24,20,23,5,18,65,33
152,Aarón Escandell,GK,0,0,0,0,0,0,0,1
153,Alfonso Espino,DF,67,45,30,26,4,22,107,63
154,Bernardo Espinosa,DF,1,1,1,0,0,0,1,2
155,Karl Etta,FW,1,1,0,0,0,0,1,0
156,Abdessamad Ezzalzouli,"FW,MF",1,1,0,1,0,1,1,0
157,Abdessamad Ezzalzouli,FW,17,14,4,10,0,10,22,5
158,Radamel Falcao,"FW,DF",7,5,1,2,0,2,10,4
159,Fali,DF,41,26,21,38,24,14,68,120
160,Ansu Fati,"MF,FW",0,0,0,0,0,0,0,0
161,Nabil Fekir,"MF,FW",15,10,5,9,0,9,22,3
162,Luiz Felipe,DF,7,3,4,10,4,6,11,16
163,João Félix,FW,22,16,8,14,1,13,32,11
164,Kiko Femenía,DF,35,25,19,21,6,15,66,45
165,Aitor Fernández,GK,0,0,0,0,0,0,0,5
166,Álex Fernández,MF,19,9,11,17,5,12,34,30
167,Carlos Fernández,FW,11,7,0,4,0,4,11,5
168,Raúl Fernández,GK,0,0,0,0,0,0,0,1
169,Valery Fernández,"MF,FW",11,9,6,6,1,5,12,4
170,Fernando,GK,0,0,0,1,0,1,0,2
171,Fernando,MF,9,8,5,2,0,2,16,9
172,André Ferreira,GK,0,0,0,0,0,0,0,9
173,Rachad Fettal,FW,1,1,0,0,0,0,1,0
174,Pablo Fornals,"FW,MF",24,16,12,14,0,14,46,10
175,Héctor Fort,DF,6,5,4,0,0,0,8,4
176,Dimitri Foulquier,"DF,MF",39,22,18,10,1,9,55,49
177,Juan Foyth,DF,26,15,12,17,4,13,38,44
178,Jorge de Frutos,"FW,MF",19,8,7,12,0,12,26,18
179,Daniel Fuzato,GK,0,0,0,0,0,0,0,1
180,Matteo Gabbia,DF,10,6,5,5,2,3,18,36
181,Javi Galán,DF,5,4,4,1,0,1,6,3
182,Javi Galán,DF,38,22,15,24,1,23,52,17
183,Iñigo Ruiz de Galarreta,MF,49,31,24,18,5,13,61,17
184,Aleix García,MF,49,28,28,45,17,28,85,53
185,Álvaro García,"FW,MF",34,25,7,35,0,35,70,33
186,Dani García,MF,17,11,12,9,3,6,25,11
187,David García,DF,29,18,16,40,19,21,47,115
188,Eric García,DF,0,0,0,1,1,0,0,0
189,Eric García,DF,55,37,34,36,18,18,85,79
190,Fran Garcia,DF,25,17,13,16,3,13,44,28
191,Francisco Jesús Crespo García,FW,12,8,6,4,0,4,14,5
192,Gonzalo García,"FW,MF",0,0,0,1,1,0,0,1
193,Jastin García,FW,1,0,0,0,0,0,1,1
194,Raúl García,"FW,MF",9,6,4,10,1,9,12,9
195,Rubén García,"FW,MF",32,18,13,23,3,20,44,23
196,Santiago García,FW,1,0,1,0,0,0,1,0
197,Unai García,DF,12,9,5,7,1,6,20,18
198,Federico Gattoni,"DF,FW",1,0,1,0,0,0,1,1
199,Gavi,"MF,FW",39,21,18,19,3,16,47,16
200,Paulo Gazzaniga,GK,2,2,2,0,0,0,2,12
201,David Gil,GK,0,0,0,0,0,0,0,3
202,Maxi Gómez,FW,6,4,3,8,3,5,9,3
203,Moi Gómez,"MF,FW",30,19,9,15,1,14,41,22
204,Unai Gómez,MF,12,10,5,13,2,11,14,9
205,Édgar González,"DF,MF",45,21,25,48,28,20,83,130
206,Fabio González,MF,2,2,1,2,0,2,2,0
207,Giovanni González,DF,73,45,40,24,3,21,104,60
208,Hugo González,"MF,FW",2,1,0,0,0,0,2,0
209,Iñaki González,MF,1,0,0,0,0,0,1,1
210,Peter González,"MF,FW",5,3,1,11,0,11,12,10
211,Urko González,MF,4,1,2,1,0,1,5,6
212,Andoni Gorosabel,DF,62,42,38,24,8,16,90,69
213,Pablo Gozalbez,"MF,FW",1,0,1,0,0,0,2,2
214,Mason Greenwood,"MF,FW",11,6,4,9,0,9,15,4
215,Dominik Greif,GK,0,0,0,0,0,0,0,0
216,Antoine Griezmann,"FW,MF",33,19,15,34,3,31,43,23
217,Vicente Guaita,GK,1,1,1,0,0,0,1,9
218,Andrés Guardado,MF,17,12,7,4,2,2,23,5
219,Sergi Guardiola,"FW,MF",10,7,4,10,0,10,10,4
220,Nemanja Gudelj,"DF,MF",31,24,17,17,9,8,58,56
221,Gonçalo Guedes,"FW,MF",6,4,2,8,0,8,8,3
222,Javier Guerra,MF,54,24,22,27,7,20,72,44
223,Ander Guevara,MF,59,32,31,34,12,22,72,46
224,Hugo Guillamón,MF,24,15,11,8,3,5,36,25
225,Marc Guiu,"FW,MF",1,0,0,0,0,0,1,0
226,Arda Güler,"FW,MF",6,4,5,0,0,0,8,5
227,Gerard Gumbau,MF,55,34,23,24,5,19,80,30
228,İlkay Gündoğan,MF,32,22,12,19,4,15,53,18
229,Jon Guridi,MF,42,24,12,23,3,20,64,22
230,Gorka Guruzeta,FW,34,23,9,36,2,34,51,23
231,Miguel Gutiérrez,DF,29,18,13,27,11,16,51,66
232,Munir El Haddadi,FW,40,27,17,27,1,26,51,16
233,Ianis Hagi,"MF,FW",17,12,5,8,0,8,22,4
234,Luiz Henrique,FW,15,11,9,11,0,11,20,8
235,Mario Hermoso,DF,46,25,28,27,9,18,76,93
236,Javi Hernández,DF,43,24,25,34,9,25,62,72
237,Aridane Hernández,DF,10,8,4,19,14,5,24,98
238,Luis Hernández,DF,7,3,4,3,2,1,15,25
239,Yarek Hernandis,DF,22,12,13,15,8,7,37,50
240,Jorge Herrando,DF,29,19,12,20,11,9,44,69
241,Ander Herrera,MF,44,32,20,16,6,10,59,18
242,Cristian Herrera,"FW,MF",1,1,1,1,0,1,1,2
243,Sergio Herrera,GK,2,2,2,0,0,0,2,22
244,Yangel Herrera,MF,64,37,30,30,8,22,88,45
245,Juan Herzog,DF,6,5,3,4,1,3,8,17
246,Martin Hongla,"MF,DF",7,3,3,6,3,3,13,13
247,Xabier Huarte Armendáriz,MF,0,0,0,0,0,0,0,0
248,Pablo Ibáñez,MF,18,9,5,26,3,23,27,17
249,Iglesias,"DF,FW",41,22,21,18,7,11,57,53
250,Borja Iglesias,FW,0,0,0,0,0,0,2,2
251,Imanol,DF,7,5,5,6,0,6,14,15
252,Isco,MF,41,27,14,19,1,18,51,7
