,Jugador,Posición,Pelotas recuperadas,% Duelos aéreos ganados
326,Alberto Marí,FW,10,28.6
327,José Mari,"MF,FW",3,0
328,José María Giménez,DF,49,63.3
329,Mariano,"FW,MF",8,50.0
330,Rafa Marín,DF,117,56.6
331,Diego Mariño,GK,1,0
332,Mika Màrmol,DF,187,47.7
333,Unai Marrero,GK,3,0
334,Roger Martí,FW,58,33.3
335,Iván Martín,MF,146,25.0
336,Jon Martin,DF,0,100.0
337,Mario Martín,MF,2,0
338,Arnau Martinez,DF,65,43.5
339,Iñigo Martínez,DF,69,55.0
340,Marc Martínez,GK,8,0
341,Marvin,"FW,DF",101,27.3
342,Omar Mascarell,MF,103,55.6
343,Jaime Mata,"FW,MF",58,43.0
344,Luís Maximiano,GK,42,100.0
345,Borja Mayoral,FW,69,40.3
346,Mamadou Mbaye,DF,10,64.3
347,Hannibal Mejbri,MF,6,0.0
348,Óscar Melendo,"MF,FW",56,27.3
349,Gonzalo Melero,"MF,FW",41,46.3
350,Memphis,FW,26,25.0
351,Houboulang Mendes,DF,23,58.3
352,Tomás Mendes,MF,2,0
353,Brais Méndez,"MF,FW",121,42.4
354,Bruno Méndez,DF,65,54.1
355,Diego Méndez,MF,1,100.0
356,Ferland Mendy,DF,97,54.5
357,Jorge Meré,DF,38,42.1
358,Mikel Merino,MF,197,60.5
359,Omenuke Mfulu,"MF,FW",7,42.9
360,Miguel,"FW,MF",3,33.3
361,Éder Militão,DF,19,45.8
362,Luis Milla,MF,174,52.8
363,Marko Milovanović,"FW,MF",9,36.1
364,Óscar Mingueza,"DF,MF",164,47.1
365,Ignasi Miquel,DF,136,50.5
366,Rafa Mir,"FW,MF",12,38.7
367,Juan Miranda,DF,83,49.1
368,Stefan Mitrović,DF,27,35.5
369,Luka Modrić,MF,92,50.0
370,Johan Mojica,DF,168,51.7
371,Alberto Moleiro,"FW,MF",67,5.9
372,Nahuel Molina,DF,122,38.9
373,Jon Moncayola,MF,98,53.3
374,César Montes,DF,64,71.1
375,Álvaro Morata,FW,54,57.9
376,Alberto Moreno,DF,76,43.5
377,Gerard Moreno,FW,87,49.1
378,Jorge Moreno,DF,1,50.0
379,Ilaix Moriba,"MF,FW",22,41.7
380,Manu Morlanes,MF,125,56.7
381,Cristhian Mosquera,DF,147,44.1
382,Yerson Mosquera,DF,72,76.5
383,Abdul Mumin,DF,79,55.7
384,Iker Muniain,"MF,FW",27,9.1
385,Aihen Muñoz,DF,66,57.5
386,Álvaro Muñoz,FW,1,0
387,Iker Muñoz,MF,100,60.2
388,Javier Muñoz,MF,114,24.0
389,Vedat Muriqi,FW,75,52.8
390,Nacho,DF,82,60.0
391,Matija Nastasić,DF,91,62.0
392,Roberto Navarro,"MF,FW",125,38.7
393,Jesús Navas,DF,99,41.7
394,Álvaro Negredo,"FW,MF",2,75.0
395,Carlos Neva,DF,135,46.6
396,Tanguy Nianzou,DF,18,44.4
397,Saúl Ñíguez,MF,72,59.5
398,Peru Nolaskoain,"DF,MF",1,100.0
399,Randy Nteka,"FW,MF",23,52.9
400,Unai Núñez,DF,206,61.0
401,Ørjan Nyland,GK,28,100.0
402,Jan Oblak,GK,29,100.0
403,Brian Ocampo,"MF,FW",23,57.1
404,Lucas Ocampos,"FW,MF",161,52.9
405,Álvaro Odriozola,DF,13,11.1
406,Aingeru Olabarrieta,FW,0,0
407,Olasagasti,MF,36,37.5
408,Samuel Omorodion,FW,46,39.9
409,Samuel Omorodion,FW,2,28.6
410,Aimar Oroz,MF,144,32.8
411,Eneko Ortiz,DF,0,0
412,Asier Osambela,MF,1,50.0
413,Milutin Osmajić,MF,0,100.0
414,Aiham Ousou,DF,26,53.3
415,Jesús Owono,GK,11,100.0
416,Mikel Oyarzabal,"FW,MF",69,33.8
417,Cenk Özkacar,DF,70,50.0
418,Jon Pacheco,DF,49,63.3
419,Isaac Palazón Camacho,"MF,FW",156,36.7
420,Joaquín Panichelli,"FW,MF",10,77.3
421,Sokratis Papastathopoulos,DF,51,58.1
422,Victor Parada,"FW,MF",0,0
423,Aitor Paredes,DF,137,61.9
424,Daniel Parejo,MF,173,70.6
