,Jugador,Min/90,Goles de penalti,Penaltis lanzados,Conducción progresiva,Pases profundos,Pases profundos recibidos,Goles/90,Asistencias/90,Creación de pel. acaba en gol
193,Jastin García,0.4,0,0,2,2,8,0.00,0.00,0.00
194,Raúl García,4.7,0,0,4,19,15,0.21,0.00,0.21
195,Rubén García,17.2,0,0,16,59,117,0.17,0.12,0.29
196,Santiago García,0.3,0,0,1,2,1,0.00,0.00,0.00
197,Unai García,6.2,0,0,2,12,1,0.16,0.00,0.16
198,Federico Gattoni,0.1,0,0,0,0,0,0.00,0.00,0.00
199,Gavi,10.5,0,0,26,39,38,0.10,0.10,0.19
200,Paulo Gazzaniga,38.0,0,0,0,0,0,0.00,0.00,0.00
201,David Gil,4.1,0,0,0,0,0,0.00,0.00,0.00
202,Maxi Gómez,12.9,0,0,13,11,54,0.00,0.00,0.00
203,Moi Gómez,22.3,0,0,36,127,69,0.13,0.00,0.13
204,Unai Gómez,9.7,0,0,20,28,48,0.21,0.00,0.21
205,Édgar González,28.0,0,0,6,72,6,0.07,0.00,0.07
206,Fabio González,1.4,0,0,0,9,2,0.00,0.00,0.00
207,Giovanni González,27.4,0,0,28,91,95,0.04,0.04,0.07
208,Hugo González,1.0,0,0,2,2,7,0.00,1.03,1.03
209,Iñaki González,0.1,0,0,0,0,0,0.00,0.00,0.00
210,Peter González,7.2,0,0,19,16,48,0.00,0.00,0.00
211,Urko González,1.7,0,0,1,6,1,0.00,0.00,0.00
212,Andoni Gorosabel,31.7,0,0,58,117,121,0.03,0.00,0.03
213,Pablo Gozalbez,1.1,0,0,0,0,5,0.00,0.00,0.00
214,Mason Greenwood,29.6,2,3,127,89,239,0.27,0.20,0.41
215,Dominik Greif,1.0,0,0,0,0,0,0.00,0.00,0.00
216,Antoine Griezmann,29.4,4,4,43,118,196,0.54,0.20,0.61
217,Vicente Guaita,26.7,0,0,0,0,0,0.00,0.00,0.00
218,Andrés Guardado,5.0,0,0,5,36,6,0.00,0.00,0.00
219,Sergi Guardiola,5.5,0,0,10,19,32,0.18,0.18,0.36
220,Nemanja Gudelj,19.4,0,0,23,73,5,0.05,0.05,0.10
221,Gonçalo Guedes,10.6,0,0,38,50,88,0.28,0.19,0.47
222,Javier Guerra,27.8,0,0,47,81,68,0.14,0.04,0.18
223,Ander Guevara,32.6,0,0,53,187,37,0.03,0.00,0.03
224,Hugo Guillamón,14.6,0,0,6,65,10,0.07,0.00,0.07
225,Marc Guiu,0.8,0,0,1,1,8,1.22,0.00,1.22
226,Arda Güler,4.2,0,0,16,17,25,1.43,0.00,1.43
227,Gerard Gumbau,29.7,0,0,20,135,29,0.00,0.10,0.10
228,İlkay Gündoğan,33.3,1,2,71,224,116,0.15,0.27,0.39
229,Jon Guridi,29.8,0,0,30,117,92,0.10,0.13,0.24
230,Gorka Guruzeta,24.6,0,1,18,55,102,0.57,0.20,0.77
231,Miguel Gutiérrez,33.7,0,0,74,146,184,0.06,0.21,0.27
232,Munir El Haddadi,27.2,0,1,26,78,167,0.11,0.07,0.18
233,Ianis Hagi,8.9,0,1,17,32,58,0.00,0.22,0.22
234,Luiz Henrique,6.8,0,0,35,17,58,0.00,0.44,0.44
235,Mario Hermoso,28.4,0,0,39,177,61,0.00,0.04,0.04
236,Javi Hernández,27.9,0,0,40,94,57,0.04,0.07,0.11
237,Aridane Hernández,18.8,0,0,0,21,0,0.00,0.00,0.00
238,Luis Hernández,8.0,0,0,2,31,1,0.12,0.00,0.12
239,Yarek Hernandis,8.2,0,0,4,15,10,0.00,0.00,0.00
240,Jorge Herrando,18.3,0,0,3,35,1,0.00,0.05,0.05
241,Ander Herrera,11.4,0,0,11,94,17,0.00,0.26,0.26
242,Cristian Herrera,1.8,0,0,2,8,16,0.54,0.00,0.54
243,Sergio Herrera,31.9,0,0,0,1,0,0.00,0.00,0.00
244,Yangel Herrera,23.4,0,0,31,92,76,0.21,0.00,0.21
245,Juan Herzog,3.2,0,0,0,3,0,0.62,0.00,0.62
246,Martin Hongla,6.2,0,0,3,16,5,0.00,0.00,0.00
247,Xabier Huarte Armendáriz,0.1,0,0,0,1,0,0.00,0.00,0.00
248,Pablo Ibáñez,12.8,0,0,26,67,54,0.08,0.16,0.23
249,Iglesias,15.7,0,0,16,43,48,0.00,0.13,0.13
250,Borja Iglesias,4.5,0,0,5,12,32,0.00,0.22,0.22
251,Imanol,5.8,0,0,13,21,15,0.00,0.00,0.00
252,Isco,25.8,2,2,100,216,145,0.31,0.19,0.43
253,Diego Iturralde,0.4,0,0,1,1,0,0.00,0.00,0.00
254,Adnan Januzaj,2.1,0,0,1,9,17,0.00,0.00,0.00
255,Mikel Jauregizar,1.7,0,0,2,5,3,0.00,0.00,0.00
256,Luis Javier Suárez,10.2,1,1,30,15,53,0.59,0.00,0.49
257,Salim El Jebari,0.1,0,0,1,0,1,0.00,0.00,0.00
258,Frenkie de Jong,18.2,0,0,69,168,38,0.11,0.00,0.11
259,Joan Jordán,4.2,0,0,0,32,1,0.00,0.00,0.00
260,Jordi,6.4,0,0,6,14,28,0.00,0.00,0.00
261,Jeremy Jorge,0.0,0,0,0,0,0,0.00,0.00,0.00
262,Willian José,21.9,0,0,8,32,90,0.46,0.23,0.68
263,Joselu,18.7,0,2,15,20,98,0.53,0.11,0.64
264,Kamil Jóźwiak,6.3,0,0,15,21,31,0.00,0.16,0.16
265,Juanmi,9.7,0,0,7,12,40,0.31,0.10,0.41
266,Juanpe,8.3,0,0,3,14,0,0.00,0.00,0.00
