,Jugador,Posición,% Regates completados
262,Willian José,FW,50.0
263,Joselu,FW,42.9
264,Kamil Jóźwiak,MF,50.0
265,Juanmi,FW,39.1
266,Juanpe,DF,50.0
267,Vinicius Júnior,FW,36.9
268,Filip Jørgensen,GK,100.0
269,Sory Kaba,FW,50.0
270,Kaiky,DF,75.0
271,Jon Karrikaburu,"MF,FW",0
272,Ibrahima Kebe,MF,0.0
273,Kiké,"FW,MF",45.5
274,Koke,MF,45.5
275,Ibrahima Koné,FW,25.0
276,Rominigue Kouamé,MF,70.0
277,Jules Koundé,DF,42.1
278,Toni Kroos,MF,62.5
279,Takefusa Kubo,"FW,MF",47.0
280,Luca de la Torre,MF,34.4
281,Yoel Lago,DF,0
282,Érik Lamela,"FW,MF",43.8
283,Bruno Langa,DF,61.9
284,Cyle Larin,FW,35.9
285,Juanmi Latasa,FW,46.2
286,Toni Lato,DF,55.6
287,Lázaro,"FW,MF",31.3
288,Robin Le Normand,DF,100.0
289,Jeremías Ledesma,GK,100.0
290,Florian Lejeune,DF,80.0
291,Stefan Lekovic,DF,0
292,Iñigo Lekue,DF,40.9
293,Thomas Lemar,MF,50.0
294,Álvaro Lemos,DF,0.0
295,Ruben Lendinez,DF,0
296,Robert Lewandowski,FW,42.6
297,Samuel Lino,"DF,MF",53.3
298,Javier Llabrés,"MF,FW",62.5
299,Marcos Llorente,"MF,DF",40.7
300,Enzo Loiodice,MF,52.8
301,David López,DF,55.6
302,Diego López,"MF,FW",36.8
303,Fermin López,"MF,FW",57.9
304,Javi López,DF,55.4
305,Unai López,MF,56.4
306,Dion Lopy,MF,60.4
307,Anthony Lozano,"MF,FW",25.0
308,Anthony Lozano,FW,23.5
309,Lucas,DF,46.9
310,José Luis Gayà,DF,44.4
311,José Luis Morales,"FW,MF",28.1
312,Dodi Lukebakio,"FW,MF",48.4
313,Andriy Lunin,GK,0
314,Darwin Machís,MF,35.3
315,Pablo Maffeo,DF,45.7
316,Jon Magunacelaya,"FW,MF",40.0
317,Nemanja Maksimović,MF,41.2
318,Giorgi Mamardashvili,GK,0
319,Wilson Manafá,"DF,MF",66.7
320,Reinildo Mandava,DF,47.1
321,Aïssa Mandi,DF,0
322,Javier Manquillo,"DF,MF",50.0
323,Faitout Maouassa,"DF,MF",25.0
324,Marcão,DF,33.3
325,Óscar de Marcos,DF,27.3
326,Alberto Marí,FW,60.0
327,José Mari,"MF,FW",0
328,José María Giménez,DF,66.7
329,Mariano,"FW,MF",50.0
330,Rafa Marín,DF,60.0
331,Diego Mariño,GK,0
332,Mika Màrmol,DF,51.5
