,Jugador,Goles,% Disparos a puerta,Total de tiros/90,Disparos a puerta/90,Goles/tiros,Goles/tiros a puerta,Distancia media de los tiros
598,Nico Williams,5,33.9,2.23,0.76,0.09,0.26,15.7
599,Axel Witsel,2,42.9,0.23,0.10,0.29,0.67,8.0
600,Xeber,0,0.0,1.49,0.00,0.00,0,16.4
601,Antal Yaakobishvili,0,0,0.00,0.00,0,0,0
602,Lamine Yamal,5,36.2,2.37,0.86,0.09,0.24,17.5
603,Roman Yaremchuk,3,50.0,1.75,0.87,0.17,0.33,12.3
604,Arsen Zakharyan,1,27.3,2.42,0.66,0.03,0.11,21.6
605,Joseba Zaldúa,0,0.0,0.13,0.00,0.00,0,34.5
606,Bryan Zaragoza,6,54.5,1.81,0.99,0.15,0.28,17.7
607,Igor Zubeldia,0,0.0,0.43,0.00,0.00,0,13.4
608,Martín Zubimendi,4,50.0,0.75,0.37,0.18,0.36,14.8
