,Jugador,País,Posición,Equipo,Competición,Edad
159,Fali,ESP,DF,Cádiz,La Liga,29
160,Ansu Fati,ESP,"MF,FW",Barcelona,La Liga,20
161,Nabil Fekir,FRA,"MF,FW",Betis,La Liga,30
162,Luiz Felipe,ITA,DF,Betis,La Liga,26
163,João Félix,POR,FW,Barcelona,La Liga,23
164,Kiko Femenía,ESP,DF,Villarreal,La Liga,32
165,Aitor Fernández,ESP,GK,Osasuna,La Liga,32
166,Álex Fernández,ESP,MF,Cádiz,La Liga,30
167,Carlos Fernández,ESP,FW,Real Sociedad,La Liga,27
168,Raúl Fernández,ESP,GK,Granada,La Liga,35
169,Valery Fernández,ESP,"MF,FW",Girona,La Liga,23
170,Fernando,ESP,GK,Almería,La Liga,33
171,Fernando,BRA,MF,Sevilla,La Liga,36
172,André Ferreira,POR,GK,Granada,La Liga,27
173,Rachad Fettal,MAR,FW,Almería,La Liga,18
174,Pablo Fornals,ESP,"FW,MF",Betis,La Liga,27
175,Héctor Fort,ESP,DF,Barcelona,La Liga,16
176,Dimitri Foulquier,FRA,"DF,MF",Valencia,La Liga,30
177,Juan Foyth,ARG,DF,Villarreal,La Liga,25
178,Jorge de Frutos,ESP,"FW,MF",Rayo Vallecano,La Liga,26
179,Daniel Fuzato,BRA,GK,Getafe,La Liga,26
180,Matteo Gabbia,ITA,DF,Villarreal,La Liga,23
181,Javi Galán,ESP,DF,Atlético Madrid,La Liga,28
182,Javi Galán,ESP,DF,Real Sociedad,La Liga,28
183,Iñigo Ruiz de Galarreta,ESP,MF,Athletic Club,La Liga,29
184,Aleix García,ESP,MF,Girona,La Liga,26
185,Álvaro García,ESP,"FW,MF",Rayo Vallecano,La Liga,30
186,Dani García,ESP,MF,Athletic Club,La Liga,33
187,David García,ESP,DF,Osasuna,La Liga,29
188,Eric García,ESP,DF,Barcelona,La Liga,22
189,Eric García,ESP,DF,Girona,La Liga,22
190,Fran Garcia,ESP,DF,Real Madrid,La Liga,23
191,Francisco Jesús Crespo García,ESP,FW,Las Palmas,La Liga,27
192,Gonzalo García,ESP,"FW,MF",Real Madrid,La Liga,19
193,Jastin García,ESP,FW,Girona,La Liga,19
194,Raúl García,ESP,"FW,MF",Athletic Club,La Liga,37
195,Rubén García,ESP,"FW,MF",Osasuna,La Liga,30
196,Santiago García,,FW,Getafe,La Liga,21
197,Unai García,ESP,DF,Osasuna,La Liga,31
198,Federico Gattoni,ARG,"DF,FW",Sevilla,La Liga,24
199,Gavi,ESP,"MF,FW",Barcelona,La Liga,18
200,Paulo Gazzaniga,ARG,GK,Girona,La Liga,31
201,David Gil,ESP,GK,Cádiz,La Liga,29
202,Maxi Gómez,URU,FW,Cádiz,La Liga,26
203,Moi Gómez,ESP,"MF,FW",Osasuna,La Liga,29
204,Unai Gómez,ESP,MF,Athletic Club,La Liga,20
205,Édgar González,ESP,"DF,MF",Almería,La Liga,26
206,Fabio González,ESP,MF,Las Palmas,La Liga,26
207,Giovanni González,URU,DF,Mallorca,La Liga,28
208,Hugo González,ESP,"MF,FW",Valencia,La Liga,20
209,Iñaki González,ESP,MF,Las Palmas,La Liga,19
210,Peter González,DOM,"MF,FW",Valencia,La Liga,21
211,Urko González,ESP,MF,Real Sociedad,La Liga,22
212,Andoni Gorosabel,ESP,DF,Alavés,La Liga,26
213,Pablo Gozalbez,ESP,"MF,FW",Valencia,La Liga,22
214,Mason Greenwood,eng ENG,"MF,FW",Getafe,La Liga,21
215,Dominik Greif,SVK,GK,Mallorca,La Liga,26
216,Antoine Griezmann,FRA,"FW,MF",Atlético Madrid,La Liga,32
217,Vicente Guaita,ESP,GK,Celta Vigo,La Liga,36
