,Jugador,País,Posición,Equipo,Competición,Edad
436,Alberto Perea,ESP,"MF,FW",Granada,La Liga,32
437,Ayoze Pérez,ESP,FW,Betis,La Liga,30
438,Carles Pérez,ESP,"MF,DF",Celta Vigo,La Liga,25
439,Francisco Perez,ESP,"MF,FW",Valencia,La Liga,20
440,Kike Pérez,ESP,"MF,FW",Rayo Vallecano,La Liga,26
441,Máximo Perrone,ARG,MF,Las Palmas,La Liga,20
442,Njegoš Petrović,SRB,"MF,FW",Granada,La Liga,24
443,Germán Pezzella,ARG,DF,Betis,La Liga,32
444,Kamil Piątkowski,POL,DF,Granada,La Liga,23
445,Yeremi Pino,ESP,"MF,FW",Villarreal,La Liga,20
446,Portu,ESP,FW,Getafe,La Liga,31
447,Portu,ESP,"MF,FW",Girona,La Liga,31
448,José Pozo,ESP,MF,Rayo Vallecano,La Liga,27
449,Alejandro Pozo Pozo,ESP,"DF,MF",Almería,La Liga,24
450,Beñat Prados,ESP,"MF,DF",Athletic Club,La Liga,22
451,Abdón Prats,ESP,"FW,MF",Mallorca,La Liga,30
452,Pubill,ESP,DF,Almería,La Liga,20
453,Antonio Puertas,ESP,"MF,FW",Granada,La Liga,31
454,Arnau Puigmal,ESP,"FW,DF",Almería,La Liga,22
455,Nemanja Radonjić,SRB,"MF,DF",Mallorca,La Liga,27
456,Aleksandar Radovanović,SRB,DF,Almería,La Liga,29
457,Abdellah Raihani,MAR,FW,Atlético Madrid,La Liga,19
458,Antonio Raillo,ESP,DF,Mallorca,La Liga,31
459,Predrag Rajković,SRB,GK,Mallorca,La Liga,27
460,Ivan Rakitić,CRO,MF,Sevilla,La Liga,35
461,Largie Ramazani,BEL,"FW,MF",Almería,La Liga,22
462,Benito Ramírez,ESP,"FW,MF",Las Palmas,La Liga,28
463,Sandro Ramírez,ESP,FW,Las Palmas,La Liga,28
464,Chris Ramos,ESP,"FW,MF",Cádiz,La Liga,26
465,Sergio Ramos,ESP,DF,Sevilla,La Liga,37
466,Raphinha,BRA,"FW,MF",Barcelona,La Liga,26
467,Andrei Ratiu,ROU,"DF,MF",Rayo Vallecano,La Liga,25
468,Raúl,ESP,FW,Osasuna,La Liga,22
469,Abderrahman Rebbach,ALG,"FW,MF",Alavés,La Liga,24
470,Pepe Reina,ESP,GK,Villarreal,La Liga,40
471,Álex Remiro,ESP,GK,Real Sociedad,La Liga,28
472,Chadi Riad,MAR,DF,Betis,La Liga,20
473,Diego Rico,ESP,DF,Getafe,La Liga,30
474,Luis Rioja,ESP,"FW,MF",Alavés,La Liga,29
475,Rodrigo Riquelme,ESP,"DF,MF",Atlético Madrid,La Liga,23
476,Alberto Risco,ESP,MF,Getafe,La Liga,17
477,Mihailo Ristić,SRB,"DF,MF",Celta Vigo,La Liga,27
478,Gorka Rivera Alonso,ESP,DF,Getafe,La Liga,18
479,Sergi Roberto,ESP,"MF,DF",Barcelona,La Liga,31
480,Lucas Robertone,ARG,MF,Almería,La Liga,26
481,Marc Roca,ESP,MF,Betis,La Liga,26
482,Sergio Rodelas,ESP,"FW,DF",Granada,La Liga,18
483,Rodri,ESP,"FW,MF",Betis,La Liga,23
484,Óscar Rodríguez Arnaiz,ESP,"MF,FW",Getafe,La Liga,25
485,Damián Rodríguez,ESP,MF,Celta Vigo,La Liga,20
486,Dani Rodríguez,ESP,MF,Mallorca,La Liga,35
487,Guido Rodríguez,ARG,MF,Betis,La Liga,29
488,Kirian Rodríguez,ESP,MF,Las Palmas,La Liga,27
489,Miguel Rodríguez,ESP,MF,Celta Vigo,La Liga,20
490,Rodrygo,BRA,FW,Real Madrid,La Liga,22
491,Carlos Romero,ESP,DF,Villarreal,La Liga,21
492,Luka Romero,ARG,FW,Almería,La Liga,18
493,Oriol Romeu,ESP,MF,Barcelona,La Liga,31
494,Unai Ropero,ESP,MF,Alavés,La Liga,21
495,Vitor Roque,BRA,FW,Barcelona,La Liga,18
496,Antonio Rüdiger,GER,DF,Real Madrid,La Liga,30
497,Javier Rueda Garcia,ESP,"MF,DF",Celta Vigo,La Liga,21
498,Aitor Ruibal,ESP,"DF,FW",Betis,La Liga,27
499,Sergio Ruiz,ESP,MF,Granada,La Liga,28
500,Youssouf Sabaly,SEN,DF,Betis,La Liga,30
501,Umar Sadiq,NGA,FW,Real Sociedad,La Liga,26
502,Pablo Saenz,,MF,Granada,La Liga,0
503,Kike Salas,ESP,DF,Sevilla,La Liga,21
504,Salvi,ESP,MF,Rayo Vallecano,La Liga,32
505,Diadie Samassékou,MLI,MF,Cádiz,La Liga,27
506,Fede San Emeterio,ESP,MF,Cádiz,La Liga,26
507,Oihan Sancet,ESP,MF,Athletic Club,La Liga,23
508,Ricard Sánchez,ESP,DF,Granada,La Liga,23
509,Antonio Sánchez,ESP,MF,Mallorca,La Liga,26
510,Juanlu Sánchez,ESP,DF,Sevilla,La Liga,19
511,Manu Sánchez,ESP,"DF,MF",Celta Vigo,La Liga,22
512,Jesús Santiago,ESP,MF,Getafe,La Liga,19
513,Paco Sanz,ESP,DF,Almería,La Liga,18
514,Stefan Savić,MNE,DF,Atlético Madrid,La Liga,32
515,Sávio,BRA,"FW,MF",Girona,La Liga,19
516,Manuel Sebastián,ESP,MF,Sevilla,La Liga,19
517,Aleksandar Sedlar,SRB,DF,Alavés,La Liga,31
518,André Silva,POR,FW,Real Sociedad,La Liga,27
519,Rui Silva,POR,GK,Betis,La Liga,29
520,Giuliano Simeone,ARG,FW,Alavés,La Liga,20
521,Unai Simón,ESP,GK,Athletic Club,La Liga,26
522,Daley Sinkgraven,NED,DF,Las Palmas,La Liga,28
523,Jailson Siqueira,BRA,"DF,MF",Celta Vigo,La Liga,27
524,Antonio Sivera,ESP,GK,Alavés,La Liga,26
525,Rubén Sobrino,ESP,"MF,FW",Cádiz,La Liga,31
526,Alex Sola,ESP,"FW,MF",Alavés,La Liga,24
527,Alex Sola,ESP,"DF,MF",Real Sociedad,La Liga,24
528,Jhon Solis,COL,MF,Girona,La Liga,18
529,David Soria,ESP,GK,Getafe,La Liga,30
530,Alberto Soro,ESP,MF,Granada,La Liga,24
531,Hugo Sotelo,ESP,MF,Celta Vigo,La Liga,19
532,Boubakary Soumaré,FRA,MF,Sevilla,La Liga,24
533,Djibril Sow,SUI,MF,Sevilla,La Liga,26
534,Çağlar Söyüncü,TUR,DF,Atlético Madrid,La Liga,27
535,Carl Starfelt,SWE,DF,Celta Vigo,La Liga,28
536,Jørgen Strand Larsen,NOR,FW,Celta Vigo,La Liga,23
537,Cristhian Stuani,URU,FW,Girona,La Liga,36
538,Álex Suárez,ESP,DF,Las Palmas,La Liga,30
539,Damián Suárez,URU,DF,Getafe,La Liga,35
540,Denis Suárez,ESP,"MF,FW",Villarreal,La Liga,29
541,Suso,ESP,"MF,FW",Sevilla,La Liga,29
542,Max Svensson,ESP,FW,Osasuna,La Liga,0
543,Williot Swedberg,SWE,"FW,MF",Celta Vigo,La Liga,19
544,Mamadou Sylla,SEN,"FW,MF",Alavés,La Liga,29
545,Alexander Sørloth,NOR,FW,Villarreal,La Liga,27
546,Yassin Tallal,ESP,FW,Getafe,La Liga,18
547,Renato Tapia,PER,"MF,DF",Celta Vigo,La Liga,28
548,César Tárrega,ESP,DF,Valencia,La Liga,21
549,Marciano Tchami,GNB,"FW,MF",Almería,La Liga,19
550,Aurélien Tchouaméni,FRA,"MF,DF",Real Madrid,La Liga,23
551,Nahuel Tenaglia,ARG,DF,Alavés,La Liga,27
552,Marc-André ter Stegen,GER,GK,Barcelona,La Liga,31
553,Ramón Terrats,ESP,"MF,DF",Villarreal,La Liga,22
554,Kieran Tierney,sct SCO,DF,Real Sociedad,La Liga,26
555,Raúl de Tomás,ESP,FW,Rayo Vallecano,La Liga,28
556,Pablo Torre,ESP,"MF,FW",Girona,La Liga,20
557,Raúl Torrente,ESP,DF,Granada,La Liga,21
558,Ferrán Torres,ESP,FW,Barcelona,La Liga,23
559,Óliver Torres,ESP,MF,Sevilla,La Liga,28
560,Lucas Torró,ESP,MF,Osasuna,La Liga,29
561,Bertrand Traoré,BFA,MF,Villarreal,La Liga,27
562,Hamari Traoré,MLI,DF,Real Sociedad,La Liga,31
563,Óscar Trejo,ARG,"FW,MF",Rayo Vallecano,La Liga,35
564,Manu Trigueros,ESP,MF,Villarreal,La Liga,31
565,Viktor Tsyhankov,UKR,"MF,FW",Girona,La Liga,25
566,Beñat Turrientes,ESP,MF,Real Sociedad,La Liga,21
567,Enes Ünal,TUR,"FW,MF",Getafe,La Liga,26
568,Myrto Uzuni,ALB,FW,Granada,La Liga,28
569,Óscar Valentín,ESP,MF,Rayo Vallecano,La Liga,28
570,Martin Valjent,SVK,DF,Mallorca,La Liga,27
571,Jesús Vallejo,ESP,DF,Granada,La Liga,26
572,Álvaro Vallés,ESP,GK,Las Palmas,La Liga,26
573,Federico Valverde,URU,MF,Real Madrid,La Liga,25
574,Siebe Van Der Heyden,BEL,DF,Mallorca,La Liga,25
575,José Luis García Vayá,ESP,MF,Valencia,La Liga,24
576,Borja Vázquez,ESP,FW,Cádiz,La Liga,18
577,Jesus Vazquez,ESP,"DF,MF",Valencia,La Liga,20
578,Kevin Vázquez,ESP,DF,Celta Vigo,La Liga,30
579,Lucas Vázquez,ESP,DF,Real Madrid,La Liga,32
580,Gabriel Veiga,ESP,FW,Celta Vigo,La Liga,21
581,Alejo Véliz,ARG,FW,Sevilla,La Liga,19
582,Arthur Vermeeren,BEL,MF,Atlético Madrid,La Liga,18
583,Mikel Vesga,ESP,MF,Athletic Club,La Liga,30
584,Carlos Vicente,ESP,FW,Alavés,La Liga,24
585,Nacho Vidal,ESP,"DF,FW",Osasuna,La Liga,28
586,Nacho Vidal,ESP,DF,Mallorca,La Liga,28
587,Fran Vieites,ESP,GK,Betis,La Liga,24
588,Jonathan Viera,ESP,"MF,FW",Las Palmas,La Liga,33
589,Jonathan Viera,ESP,MF,Almería,La Liga,33
590,Toni Villa,ESP,FW,Girona,La Liga,28
591,Asier Villalibre,ESP,FW,Athletic Club,La Liga,25
592,Gonzalo Villar,ESP,MF,Granada,La Liga,25
593,Iván Villar,ESP,GK,Celta Vigo,La Liga,26
594,Ricardo Visus,ESP,DF,Betis,La Liga,22
595,Daniel Vivian,ESP,DF,Athletic Club,La Liga,24
596,Shon Weissman,ISR,FW,Granada,La Liga,27
597,Iñaki Williams,GHA,FW,Athletic Club,La Liga,29
598,Nico Williams,ESP,FW,Athletic Club,La Liga,21
599,Axel Witsel,BEL,DF,Atlético Madrid,La Liga,34
600,Xeber,ESP,"FW,MF",Alavés,La Liga,26
601,Antal Yaakobishvili,HUN,DF,Girona,La Liga,19
602,Lamine Yamal,ESP,FW,Barcelona,La Liga,16
603,Roman Yaremchuk,UKR,FW,Valencia,La Liga,27
604,Arsen Zakharyan,RUS,"MF,FW",Real Sociedad,La Liga,20
605,Joseba Zaldúa,ESP,DF,Cádiz,La Liga,31
606,Bryan Zaragoza,ESP,"MF,FW",Granada,La Liga,22
607,Igor Zubeldia,ESP,DF,Real Sociedad,La Liga,26
608,Martín Zubimendi,ESP,MF,Real Sociedad,La Liga,24
